structure,label,input_size,repeats,mean_time_s,std_dev_s,min_time_s,max_time_s
BST,BST search,100,5,4.256002139300108e-05,3.511838839610925e-06,4.0500075556337833e-05,4.880002234131098e-05
AVL,AVL search,100,5,3.877999261021614e-05,3.3840875694315248e-06,3.66999302059412e-05,4.469999112188816e-05
HashTable,HashTable search,100,5,2.0439992658793928e-05,2.642525723929926e-06,1.859990879893303e-05,2.5099958293139935e-05
BST,BST search,1000,5,0.00012055998668074608,4.619276326335012e-06,0.00011829996947199106,0.00012879993300884962
AVL,AVL search,1000,5,0.00011996000539511442,4.763727894171659e-06,0.00011580006685107946,0.00012690003495663404
HashTable,HashTable search,1000,5,5.216000135987997e-05,6.070676585176572e-06,4.8999907448887825e-05,6.3000014051795e-05
BST,BST search,10000,5,0.00013672003988176584,3.375045547324298e-05,9.96000599116087e-05,0.00017900008242577314
AVL,AVL search,10000,5,0.00019745996687561273,0.00010690614130398114,0.00010800000745803118,0.00038299988955259323
HashTable,HashTable search,10000,5,5.324000958353281e-05,3.7267367047078164e-05,3.620004281401634e-05,0.00011990009807050228
