config,nodes_expanded,label,input_size,repeats,mean_time_s,std_dev_s,min_time_s,max_time_s
5x5_warnsdorff,25,5x5_warnsdorff,5,5,0.00012008002959191799,4.8197700262365136e-05,9.670003782957792e-05,0.00020620005670934916
5x5_naive,8840,5x5_naive,5,5,0.012154700001701713,0.00047756307787161234,0.011689399951137602,0.012870300095528364
6x6_warnsdorff,36,6x6_warnsdorff,6,5,0.0001686000032350421,8.318035170469944e-06,0.00015820004045963287,0.00018129998352378607
6x6_naive,248169,6x6_naive,6,5,0.3691811400000006,0.005345896564449591,0.3641391999553889,0.37690150004345924
8x8_warnsdorff,64,8x8_warnsdorff,8,5,0.0003708999836817384,5.9447448108206074e-05,0.00032760004978626966,0.00047279999125748873
8x8_naive,500096,8x8_naive,8,5,0.7795412400038912,0.02518510358148232,0.7436314999358729,0.8130740000633523
